cellID,AFAP1,AFF4,AGAP1,AGO3,AGPS,AHDC1,AKAP11,ALPK2,AMOTL1,ANKH,ANKRD52,ARL10,ASCC3,BRCA2,BSN,BUB3,Blank-1,Blank-10,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,C14orf132,C17orf51,CBL,CBX5,CCDC113,CDYL2,CEMIP,CENPF,CEP250,CHST3,CKAP5,CNR2,COL5A1,CREBBP,CRTAP,DIEXF,DIP2B,DNAJC13,DOPEY1,DSEL,DYNC1H1,EGFR,FAF2,FAM184B,FAM208B,FASN,FBN1,FBN2,FYCO1,FZD4,FZD5,GPR107,GTF3C4,HEATR5B,HERC2,IGF2R,IL17RA,ITPR2,KIAA1147,KIAA1462,KIF13B,KLHL9,KPNA4,LMTK2,LRP1,LUZP1,MALAT1,MAN1A2,MCF2L,MED14,MYH10,NHSL2,NKTR,NOTCH2,NRIP1,PAPPA,PHIP,PIK3CA,PLXNA1,PLXNA2,POLQ,PRDM2,PRKCA,PRKDC,PROSER1,PRPF8,PRRC2B,PTPN14,RAB3B,RAD51D,RBM20,RNF152,RNF169,RP4-671O14.6,SAMD12,SCUBE3,SIPA1L3,SKP1,SLC35B4,SLC38A1,SLC5A3,SLC7A11,SLC9A2,SMARCA5,SMIM5,SOD2,SPTBN1,SRRM2,SSH1,STARD9,SULT1C2,THBS1,THSD4,TLN1,TMOD2,TNRC6A,TPR,TSPAN3,TSTD2,TTPAL,UBR2,UBR5,UMPS,USP24,USP34,USP8,USP9X,VPS13D,XDH,XKR5,YIPF4,ZBTB43,ZCCHC6,ZNF592
16345,-4.813841880709116,-3.1880081018492463,-3.2957232414529662,-4.979079056092983,-4.386973025450462,-4.2179885812791245,-4.550988465852203,-3.851628995444843,-4.496430599103281,-4.706233895215779,-4.951459741116501,-3.3313691833788894,-5.100164268437817,-5.227681590011969,-4.692537004534818,-4.284274878505776,-3.6769577022240396,-2.99754439747388,-3.804955042389682,-3.9416291740764478,-4.327061458860065,-3.4110537179539837,-3.6818557883132668,-4.0179616075389655,-3.9611153457175416,-3.8813647551710186,-2.79118700167204,-4.393940584052965,-4.376684474608847,-4.654209400974832,-3.3474103164543836,-4.694048538307364,-4.5774431220322755,-9.010518841823462,-4.9368050422981,-5.086970146885087,-6.608469269834741,-3.9266078170960537,-4.482474167254054,-4.537345824920093,-4.556864208089807,-3.95585948088959,-4.428746944658388,-4.26285407026641,-4.70844723457711,-5.191000564866367,-4.348572820613514,-4.401713678761258,-4.906267952617809,-2.9329534626611493,-4.129093240571988,-4.010450931000696,-4.318277592241531,-5.1537312905248225,-3.8179764025576133,-3.7930148819894423,-4.00752768804546,-3.136610312665654,-4.869662279828079,-4.114627623202868,-4.348097416285645,-3.234921227957182,-4.169111443119803,-3.5697950416242854,-4.1584031301620445,-4.595225754179878,-3.81296446920457,-4.122955395679048,-5.094273516578406,-4.464932290677577,-2.8387326391532963,-4.38793602563403,-1.0612649899069617,-3.2039748715084935,-3.2690206755542897,-4.805821396279778,-4.571259869313717,-4.380482029265368,-3.3334967277369523,-4.449303786993691,-3.809066220420499,-3.793030472271345,-4.541792545451626,-3.0713995583620144,-4.230451225208432,-5.174013981717343,-4.935712446951522,-3.291529826732725,-4.244998698209986,-5.311889927701779,-4.075191218083587,-4.416491061818531,-4.417054491572252,-4.133059437208496,-4.786271167228142,-4.953717379133569,-4.2305922050913285,-4.27101600418729,-4.060744111806913,-3.6306876087488327,-3.3420191428164765,-2.731900800545315,-4.09980383731499,-3.5881263591568047,-5.919113980963497,-4.327427126141101,-5.088817178231223,-4.786120330058472,-4.637961201080317,-4.561772574062527,-3.4693297144796387,-4.432930563704548,-4.461392240382331,-3.5140015069256747,-4.330072884098891,-3.434544065280848,-3.706120308434129,-3.835930827892043,-3.7670567654945804,-4.141201778800189,-5.216298693140398,-4.633253855315228,-5.03597702083635,-3.6486189537474525,-3.9746283912831353,-4.912160628292231,-4.024388727823947,-4.057521379538107,-4.511725288440302,-4.134401451793334,-3.8452957779818213,-3.461995601274216,-4.570439801712647,-4.146215862421052,-3.0510699257683958,-4.715197292490987,-4.041038440614675,-3.4202205465245124,-4.9641119054708085,-5.160413749420352
16347,-5.106486952910286,-4.619449942341175,-3.5609389453137776,-3.9645506430580983,-4.704805020719927,-3.862785553356759,-4.6894954014431995,-3.509033099358988,-4.503136858264569,-5.049473467135478,-5.504291577644372,-3.8551698763466105,-4.703546961165479,-4.35048200959419,-5.674626901205246,-4.231408989349346,-3.7894031049092436,-2.894637352854908,-2.63960799919701,-2.988314339974905,-4.029054347081028,-3.1141005041491847,-2.696398640163143,-3.2121402121477396,-3.6847004782198947,-3.3036996200107334,-2.6638547819984115,-4.541713955618821,-3.4404086101450404,-5.051987640263698,-3.587640300615127,-5.219539880074021,-5.300375714377314,-7.8117063145639465,-4.8454373350007796,-4.395363260006729,-6.292503610502747,-4.132662895521005,-3.5673117844050255,-4.942019469819642,-4.864671962671751,-4.394843082188946,-3.7759777873356435,-3.915641321995835,-3.709887151825357,-3.7635864151652676,-4.764384807133136,-4.718675918141198,-4.816702052407213,-2.9777194789429284,-3.7791353835725845,-3.922454974703616,-3.427706174473575,-3.9721764440002896,-4.395159408435101,-4.209173473170262,-4.0651242147903695,-4.037401411033936,-4.989366220687528,-4.071771582072179,-4.936529977182629,-3.118008026894785,-3.1740865907463442,-2.723387006094497,-3.429958401042664,-3.2899279337137437,-4.150347736204852,-3.451018711323796,-4.993614556713651,-4.325892655827974,-2.8457820002702108,-4.849395164645405,-0.8428523055120474,-3.811277375827616,-3.8785942048761597,-5.494365215247372,-4.672052907693816,-4.32193954394843,-3.261216192618929,-5.302567496335329,-3.9913494547227737,-3.9762598780967924,-6.053218390746702,-3.8451939553745174,-3.749861451523374,-4.147983649733488,-4.5617849874778695,-3.4976679618045714,-4.5356427118387606,-4.95140387096515,-4.128795333331136,-4.890640594872556,-3.9086591989666597,-3.6491126617964977,-4.577822284677001,-3.940685403701451,-4.275027057563478,-3.936308220643209,-3.7058096103546925,-4.136827350209216,-3.5825672271946356,-2.4553732239325345,-4.97368940331468,-3.0277634301192986,-5.566325699201113,-5.187882032598432,-4.350438008638418,-5.475826588574341,-4.32160979504606,-4.932571470784797,-3.2739137521475454,-3.4223393569057077,-4.8560765681587075,-4.219611864381159,-3.978893964317128,-2.867189625228051,-4.603234734148047,-5.4437756853712616,-3.6691945015107414,-4.604086368587195,-4.241359914953407,-3.8767910861443893,-4.632509492836093,-4.028684743968382,-3.6444220793300084,-4.95172425314485,-3.7209088414365397,-3.711786540769028,-4.574916156120383,-3.212421228206653,-3.4667866016547295,-4.373514334406113,-4.439819873367279,-4.025981736711333,-3.543439630638191,-5.032330811515966,-3.3644822926169935,-4.997823502903068,-4.6051846958849385,-4.372846495736417
16348,-4.80782244965543,-3.2342425188935655,-2.7781118069933757,-4.207361244703865,-4.1221216879169855,-5.429883760784928,-4.0008129691234835,-4.313334406284834,-4.445551152361746,-3.7481820481674637,-4.418198489531354,-3.316124782685853,-5.249189170642689,-4.685382428849176,-4.274570185423958,-4.009950316966245,-3.280563851985129,-3.7869566893072237,-3.0072067735359123,-4.045057226718659,-4.04360908031756,-3.522630854995802,-3.5744605585073743,-4.5272740921669525,-3.166829167823501,-3.3092176029150746,-2.6470356183171533,-5.03002916423915,-4.0442541561164855,-4.6068279274822945,-4.300657878281263,-4.368654215727272,-3.8680346296610626,-7.869943159313907,-5.0773286889020826,-5.087005999287076,-6.642236923767238,-4.209690487912338,-3.532424846916405,-4.686803670247249,-4.878126056121484,-4.674772390050633,-4.414189916863874,-5.291461955125956,-4.828875727269969,-4.644077590995744,-3.9857510547095725,-4.719535822632922,-4.493039571941068,-3.555902569359369,-3.975455764843533,-4.4681562654755815,-3.277020650960158,-3.556239359989427,-3.356228380393546,-4.246753500155165,-5.878376259092707,-4.5065929189798855,-4.326551816318153,-4.016826992185958,-3.5304421861371904,-3.526875455913444,-3.201282015490546,-3.9626361469434626,-4.061573006909727,-3.6368433273100567,-4.91190665480033,-3.784899875828446,-4.837906713204704,-4.599874030640395,-2.788759058349055,-4.39611582709076,-0.5106344333913526,-3.8145333315563392,-3.597545439103503,-4.667187057585139,-4.320374263796784,-4.5086719339831935,-2.8610077383320145,-4.3419130336472165,-3.929467338059712,-3.913076075624811,-5.521519691586117,-4.668850135645366,-4.882165998841561,-4.226332870215169,-4.856115356046228,-3.354409328375855,-5.482734478923548,-5.109994498615739,-3.9203587286365917,-5.270961281897112,-3.9433241950480946,-4.154030749546184,-4.647203397822764,-4.684158030703106,-6.106386140814766,-4.176682520636636,-4.747182142139504,-4.985640966031305,-4.6905726887194525,-2.7033661204110673,-4.56701131147172,-4.751528681941854,-4.992625735010949,-4.466702531321612,-4.1392472443019575,-4.932179782644019,-4.078777284185537,-4.62964755924029,-4.560653480077301,-3.8730116855920675,-4.176954574806917,-4.137239218300051,-4.281739747627669,-3.105225781158572,-5.062746016897299,-4.942848147001964,-3.88652652893543,-4.34799025979334,-4.6696544625730425,-4.3666661957603905,-4.785514172678026,-3.540486859693552,-4.601420774414396,-4.362866332989096,-3.8557939758738087,-4.587809257140585,-3.9535532979706396,-3.929036784881623,-4.067165317603353,-4.417783531365236,-4.647322880347303,-4.274091624401825,-3.7499235517922513,-4.6307113565561195,-3.06823913777414,-4.092458099542444,-4.596254404328773,-4.137827058609155
16349,-5.39519842573434,-3.818006544362393,-3.8415246997509014,-4.026635823945174,-4.566920453080115,-4.284434862149308,-4.145429639135163,-3.5567598864049934,-5.135194423387523,-4.230257674963491,-4.154405750862397,-4.250854311193587,-4.573900702074982,-5.096167510452298,-4.461582567322218,-4.229631928001414,-3.3733856903804105,-3.244939650859084,-3.6293605026906723,-3.3808175370424873,-3.3022747228324785,-3.2824314306709943,-3.692809544572013,-3.9049185776440725,-4.0854715265081465,-3.7531658537763635,-2.6289958546500274,-3.9066746818346942,-3.951786044911321,-5.21572753887091,-3.6863285814016007,-4.37306259199819,-3.8384387713456904,-8.675248695311856,-5.23969303269203,-4.941168503759452,-6.853601477918953,-3.821695462788224,-3.343363340163649,-4.595595660291648,-4.1706079547990536,-4.756254672618324,-3.9743885015175398,-3.967795701952989,-4.4130016203092115,-5.169192349429738,-4.019206032774289,-5.090036713319407,-4.51773011119869,-3.11112112788227,-4.099130496995986,-4.170385141669817,-3.5780996823214606,-3.914623239880376,-3.5532059717111215,-4.107591890899906,-4.050622638352165,-3.931346911559592,-4.6419312846545955,-4.506577344682784,-4.101782684049676,-3.5086542239584086,-3.6707773353983577,-3.43587819564407,-3.6072386362919397,-3.511395538718194,-5.1531121227127,-3.8123748077955755,-4.379796606354576,-3.985543152561111,-2.7300248553253925,-3.9989100935043234,-0.8445728521160074,-3.366812767704879,-3.0298875884701135,-4.5645432767624206,-4.866920941479776,-3.7801878950058527,-3.4178787532104713,-4.020700151441433,-3.543307175464907,-3.706789766291094,-5.2625996372102035,-3.9060980958542775,-5.310043219072369,-4.148447657716053,-4.836417559452144,-3.7566563504120074,-5.173571293293984,-4.906289465896059,-3.959599284586628,-5.5258999215757205,-3.7805970557335393,-3.9115290240854157,-5.697547152737462,-4.2200697019774225,-4.298436899611737,-4.097970853059966,-4.2793789180917035,-4.403098074842438,-3.9297074166524384,-3.2518944310947546,-5.104549325592817,-3.142261124056265,-5.523466483962579,-4.489105499775795,-4.053797987758692,-5.0103544682033885,-4.154409900133839,-4.96164578558335,-3.682930773877441,-3.9638680579376797,-4.401686138322489,-4.15130071055056,-4.303418805793312,-3.497154117060945,-4.0848386306292355,-6.2447004236498715,-3.4169880502310734,-4.509625211967853,-4.742671520871245,-4.061005589228815,-4.8202354273095835,-3.120540806030932,-4.1301460903735006,-4.130645706729753,-4.312440351362418,-3.6158613917347022,-4.300773494775503,-4.592777065218962,-3.9461257257321742,-4.616070675734512,-4.7500189760789056,-3.917864682740329,-3.0013697494448426,-4.083341027835827,-2.984516506920714,-3.8841484315173402,-3.8103664653977294,-4.886620015829228
16351,-5.1381578030102775,-3.386703665757259,-3.1417604326154747,-3.895067385477484,-4.088871529282052,-4.1110334828829735,-4.5206027627240575,-4.003824312527332,-4.135164073391165,-4.29435917053632,-4.5467932647798595,-3.5904978973121535,-5.932398990276899,-5.538802702754881,-4.9912792972337945,-4.009928705834511,-3.9120606614431876,-3.6332050060813046,-3.6315228781408972,-3.091891160038937,-3.676502778818088,-4.5559119301467295,-4.609103126858515,-3.987156725557065,-3.512714108010699,-3.8438637485108673,-3.176528877275225,-4.508549698220193,-3.8889558278405336,-4.551014862271343,-4.838450127198198,-4.221877419418222,-4.353968111329241,-6.56743167933752,-4.847140073805072,-4.736637469724546,-6.735629191662552,-4.082478676691428,-4.183038535886834,-3.7737608562689355,-4.715889334935713,-4.659887328349278,-3.8927288481860276,-4.085906616414221,-4.974730736710602,-4.80288962393133,-4.669790247702924,-4.55313315972096,-4.413044372297064,-3.696647237819441,-4.017780396924966,-3.8715365140044034,-4.045598269183756,-4.1087740463205975,-4.30473267605343,-4.191526309080887,-4.9753229838284545,-4.441696908966385,-4.23990555977357,-4.164943661660059,-4.441949934216455,-4.560268030743039,-4.145716088711936,-3.8134993152560153,-3.523839979589137,-4.192337438559558,-4.787705820312287,-4.224280524338154,-4.859634348685974,-3.981529646805639,-2.8557479560635524,-4.344812173654422,-1.3224049887893377,-4.655073952377169,-3.728866548648255,-4.72768249496999,-4.169809578533018,-4.110852034641092,-3.1109911769861456,-4.074472080855379,-3.895004163970662,-4.561188088975464,-5.4133325316536345,-4.415075991542539,-4.36971209581593,-5.067694559751358,-4.845993918258996,-3.4494874768529957,-5.110501828623359,-4.354463438844984,-4.210604216689967,-4.598189325478443,-3.9719419969601573,-3.8129545008652634,-4.8241049774215625,-4.000899544451149,-5.209322363512368,-4.3289983693507565,-4.68860607164299,-4.740188470177232,-3.60166992922049,-3.114336402778634,-4.949677061474126,-3.818874710358248,-5.153169496449821,-5.471082908388288,-4.295315554506147,-5.289362340797846,-4.222739675474438,-4.903217565305997,-3.741713610869826,-4.4224679064512475,-4.371297449984251,-4.170950894336204,-4.2888576614529486,-4.251805539610157,-3.7342515483483116,-3.80442994234543,-4.25131690359317,-4.220294534552709,-4.41590144700402,-4.243577914954548,-4.864442163915186,-4.178811479916438,-4.248967399269075,-3.6146526572483406,-3.59351736696372,-3.503305406433102,-4.50512523337492,-4.083594204997664,-3.835657805473576,-4.958652505971115,-4.630151639857208,-3.8466195933532332,-3.8910290443814897,-5.693100143423494,-3.8791793385673623,-3.836398323322464,-3.6048685471289614,-5.261995349027329
16352,-4.9789786874491515,-3.761351982073403,-3.4756719507530427,-4.569840116877581,-4.149888377961695,-3.488646952279161,-4.132223943970094,-4.10005649399926,-4.32726715641423,-4.273603036249311,-4.6432202718730675,-3.6521241690611066,-5.211038065426271,-5.489179330351521,-4.412566362631205,-4.086233656473272,-2.8983851190978247,-3.256332179823824,-2.962076058741906,-3.663542733297591,-3.2795762109728224,-3.8425300651012413,-4.117679290779611,-3.0873268610318556,-3.9673237385557236,-3.627056748827986,-2.948699294183435,-4.222657967675731,-4.308600866758008,-4.609417218104667,-3.8019776542558406,-4.770104688032751,-4.783193763859489,-8.446491491836792,-4.9271444860800235,-4.64274824832699,-6.641489439268024,-4.076785066513546,-3.521387640579786,-4.425577336841406,-4.260574867605808,-4.600901426665825,-4.1952437136868035,-4.080332972689497,-4.778726866631744,-4.799930358828471,-4.710922100496669,-6.012010289706638,-4.205226573299164,-4.0693667415128285,-3.8698997046063077,-3.83129874339475,-4.40828210159758,-4.134988630073766,-4.284339579848872,-4.158067971828147,-5.188603920834836,-3.8721193855979528,-4.739164860797338,-3.0414916381395942,-5.032248338491815,-2.8990673623910537,-4.119757942500771,-3.310499095651094,-3.9495705060511015,-3.895379333952278,-4.097190061259999,-4.282486930519359,-5.098113254453306,-4.038789887739059,-3.382918090982123,-4.049568006407326,-1.0961703079527592,-3.95991652046629,-3.5080350306521932,-5.77271377437723,-4.693407317705916,-3.8743276832468196,-3.175977177604168,-4.865903010670165,-3.941686996151981,-4.257254952297474,-4.849390052097682,-4.1060294189496,-4.387662114029967,-4.44850895749868,-5.479033235585256,-3.145694608474409,-4.60029758865633,-4.973597361453153,-4.072322623929152,-4.912869847380165,-4.274563191702574,-4.1837816907377805,-5.198412422735355,-3.9599574197998755,-3.655992984269793,-3.668930980042248,-3.8877051423976856,-4.662616264167355,-4.129102779557655,-2.6849000935322898,-4.486439272190516,-3.3086780534386895,-4.5369752317990315,-5.018708025895438,-4.508701423179851,-4.259148376207375,-3.17773581848127,-4.46857776402369,-3.4631482195218553,-3.7191700390106006,-4.764511812499807,-4.176312079406834,-3.749898617006802,-3.7641445754723395,-3.942072865088553,-4.66396617660067,-4.731775167674831,-4.356955376199955,-4.326980277149402,-4.348200672586348,-4.286047605564107,-4.081592952251756,-4.454421862655224,-4.344164516997999,-3.962627669264458,-3.8718403334280325,-4.158766705957481,-3.759570127443979,-4.01727916840618,-3.7939496226107683,-4.367678077960894,-4.860816610823166,-3.2156341899603005,-4.554100476928694,-3.7714746856620884,-3.2660373964429565,-4.295891317347154,-4.634579741112945
16353,-5.218915152649917,-2.9009938093031846,-3.4569545092917284,-4.2104513066905955,-5.212928435289051,-4.157991875443073,-3.922882728651625,-4.103332422061202,-4.909489668854731,-4.59465345134613,-4.936061187359898,-3.750405578782003,-4.710989371584557,-4.804737036651092,-4.42119383653394,-4.477079499332674,-4.572725479265888,-2.991521370971706,-3.3792514001141005,-3.75028069153272,-4.458547747214658,-3.755817068433905,-3.4097508736983486,-4.553879400419678,-3.7717997746247933,-3.4348956362521155,-2.597542746359426,-4.556113877802622,-3.9120319321453554,-5.170274671662934,-3.9005573093525374,-4.404975192410887,-4.203592971520004,-7.526715421871862,-5.0449919547193955,-4.659987416107396,-6.718212914912601,-4.540180082496149,-3.3936579721390783,-4.397255442623738,-4.245820392787451,-4.598498998495543,-3.8819633091937455,-4.094990370015379,-3.3552599053363577,-4.729612273407612,-4.746206501707592,-4.896228417689631,-4.657222447790037,-3.4797981053634133,-3.9801738699479374,-4.37649367401486,-4.007889492331961,-4.5885072118070305,-3.8031306578118484,-4.199506820507427,-3.845925887628246,-3.813391205976986,-4.456440066716458,-4.4700186783267135,-4.463132870948876,-3.2536627414464783,-3.270106084920517,-3.181320862210073,-3.3636378348788707,-4.508361357977614,-4.206887891292562,-4.035248412142847,-5.371581935121138,-4.231604779795584,-3.0126862818994837,-3.866157968216117,-1.4058363861200718,-3.6638475615022372,-3.5989663079298104,-4.988448407615799,-4.550306697109461,-4.2981929769583225,-3.0686770312811578,-4.124419320272938,-4.195352564169684,-3.8925133068713165,-4.226557047220888,-3.738698126106699,-5.017336858913522,-4.710853550505707,-4.689738764070192,-3.7173225064550044,-4.390219631777901,-5.259830662983482,-4.0868428487913935,-4.890793594465409,-4.0376743810745275,-3.975323371202677,-5.653883695751988,-4.314880843810488,-4.353207941188549,-4.462437381659588,-4.239511885941658,-4.213387746405969,-3.3592595294253194,-3.773909255696595,-4.4820767476258645,-3.1110648948504287,-4.64814128375517,-5.315793709417134,-4.331637951874443,-4.785394452737675,-4.519258150253617,-4.855085516699749,-3.4926869802889704,-3.927072932710185,-4.302505637507982,-3.8765678259998455,-4.003027468113622,-3.381788610555466,-4.16425293409857,-4.0868915285991845,-3.6422203542793237,-4.37726500473088,-4.204982694628976,-4.355725922286188,-4.774917057738654,-3.955393257575039,-3.8714470666973084,-3.8839224939639685,-4.278352815949557,-3.3769791693599767,-4.816531178270475,-4.047888587808773,-4.190437210633795,-3.491752634084216,-5.020630025553997,-4.282545063622843,-3.848684679906164,-4.351466413249181,-2.7716417302802583,-3.5321651542380876,-4.074275620492537,-4.534466160112243
16354,-5.614406495504983,-3.2889029888582924,-3.845792667014524,-5.080411103776741,-4.3442532505145,-3.8182194645633865,-4.195257470692159,-4.287781770026726,-3.871874370568956,-3.5715929368036505,-4.959599444806106,-3.978373828659234,-5.219607328296682,-4.504758318014036,-4.115313753608412,-3.699797102309129,-3.7621784147770354,-3.2631139741093214,-3.207374021618767,-4.024526481171111,-4.021382114330462,-3.5004824943624073,-3.5520890515430783,-3.426235952219507,-4.0443589081113815,-3.6875934149501575,-2.5214713708407293,-5.003555289480809,-4.150293315120346,-4.3366814457254215,-3.994700001168563,-5.026371727363472,-3.842965578655993,-7.1445134760183,-4.496359351897559,-4.924251726297969,-6.355855713035229,-4.866813645685012,-3.6577578285376218,-4.149041394398483,-5.070238294334796,-4.4673785989068335,-4.032722852953716,-4.1871336995462585,-4.126920622289882,-4.618048579284956,-3.8322336256773477,-4.912330851337441,-4.4652796400276475,-4.2158405295586086,-4.0817911267492875,-4.065624829165727,-4.702540348739007,-3.801998901466304,-3.581657401202402,-3.9978742141004378,-4.29104394363258,-3.4792824392814308,-4.402662805097766,-4.212647446208046,-4.240837372082671,-3.324423792000764,-3.5800716120096086,-2.8556903862157283,-3.5716887032428564,-4.194042697547426,-4.3832206076857965,-4.445130669043943,-5.492325164290115,-3.7047650641017125,-2.558936904027953,-4.5006400895094,-1.1477889527282685,-4.2545400270690354,-4.254071867719075,-4.923237730035399,-4.225814464897049,-4.263129379906951,-2.95613177728849,-4.114299937547738,-3.5725888915169914,-4.78739294282757,-5.492929765598086,-3.9675840009121046,-4.25189628642128,-4.600760156732145,-5.330946578138558,-3.6369547620417406,-5.2329982199204945,-4.958684912170872,-4.862630540190619,-4.834911740255495,-4.176229360347817,-3.761032181481074,-5.303721650660461,-3.6910369321676524,-4.337787128538221,-4.151718222046448,-3.5526414597850433,-4.062914413296173,-5.330882089279175,-2.565810128395533,-5.4385127419916595,-3.389144382880179,-5.361738403040733,-5.274755226478727,-3.960974450459794,-5.083471618671176,-4.0551821025138075,-4.780292179189981,-5.5952452833332345,-3.56344804315087,-4.529605075178881,-4.188011948481675,-4.4358319721859445,-3.5303070375685683,-4.139687497972339,-5.108295673892087,-4.3655321949198465,-4.182985449207064,-3.9683848649104068,-4.054977185331081,-4.555991207143617,-3.7383581368079026,-4.074071485573798,-3.9342625976285848,-3.613062306502816,-3.4736033175509045,-4.109058488398496,-3.9037050966976343,-3.69213517012851,-3.558246367674773,-4.877197067020093,-4.248707943051775,-3.54651158209278,-5.106513027484714,-2.894577435895558,-3.5157290001533816,-3.6215124389751905,-4.876634898867153
16355,-4.260553449800826,-3.535471348804469,-3.691985903600606,-4.937639600384403,-3.986080007107586,-3.69321277774019,-4.458296081750996,-3.506825457893907,-4.736339807437514,-4.233954082692394,-4.987500720670877,-4.254452866182909,-5.385139891704865,-4.968050998187659,-3.998033085392634,-4.233502672609449,-3.709629098631733,-2.931845720784048,-3.9150675733826388,-3.2312999573258185,-4.212834630327305,-3.9728826641803665,-3.342223575662579,-3.755722152908385,-3.252961449458531,-4.439575675288286,-3.0716212738406266,-5.568213917655892,-4.359285593035377,-4.576432633040369,-3.32431348380799,-4.451132155462086,-4.530354334876438,-7.5930043464524255,-4.555970354230829,-4.4366748997593035,-6.705908401172872,-4.45072481164892,-4.017603091944276,-5.003941069124587,-4.356574439611512,-5.045578683506973,-4.282854818973524,-4.137996073206322,-3.9512839400496147,-4.171345376877408,-4.062792706703526,-4.5875198876481615,-5.61044346936995,-3.1833893713697203,-5.1915873486146475,-4.103660153397806,-4.556431813463351,-3.892611337445312,-4.425231780954782,-4.1118102418139975,-3.9680317554899895,-3.935281765743044,-4.907296513088962,-3.5623613475558784,-4.259825405117833,-3.195721891060533,-3.388401291085672,-4.407398878224786,-3.286916164755093,-3.948630266598952,-4.2500070617107415,-3.549135241761646,-4.577599064214667,-4.362633106188095,-3.2577496111458686,-4.338527384085504,-0.49977019034391823,-4.214137219227588,-3.48201539421028,-4.508643326492482,-4.7542490764964676,-4.02408853657837,-2.7962264994685997,-4.406745877916847,-3.9499113242469233,-3.449529782848745,-4.912975593327225,-5.140814176985908,-4.321507422388352,-4.601260886895473,-4.641301581093858,-4.10749557443651,-4.152492337836984,-4.88626354732831,-4.578593007738686,-5.530947983060858,-3.989210338805441,-4.077739066558862,-5.521747173399222,-3.667608902523972,-4.3972954287902635,-4.684179251040575,-4.482904201022681,-4.121769828438891,-4.266291723851825,-2.7197407231509354,-4.5263243223468095,-3.1454655571655477,-4.559400478809289,-4.896289208259711,-3.7490905476471372,-4.833541856714027,-4.841065593174521,-4.795144808706477,-3.5332947956471616,-3.8629691698599147,-4.260231300393892,-4.517501521611308,-4.661517170706752,-3.5008229096115118,-3.8027163119096965,-5.000955591647852,-3.6816026664920636,-4.430140263287317,-4.463639174922701,-3.9964140122257614,-4.9578724550768545,-3.5268858949851345,-3.91234635600729,-5.58544347873916,-3.9155602321784437,-4.110152238900653,-3.7692625116302487,-3.8290093914372987,-3.6327396528381986,-4.0666831395822225,-4.8012121446510605,-3.5180351652980706,-3.754653229094951,-4.8449677986675885,-3.3418066840804626,-4.020244565783767,-4.050032381261485,-4.651122799905272
16388,-4.593529794654757,-3.1802228078876706,-3.7074272839360978,-3.891030698516929,-4.863881718434828,-3.107362661684708,-4.3454331841444045,-4.211349459873823,-4.168621167589114,-3.6272714626248024,-4.849506944445825,-5.050083703962181,-4.8763210679343505,-4.513612178120516,-3.8040853132698422,-4.772980422895309,-3.2346249397930045,-3.2380977665878605,-2.5757207652316083,-3.786274827368366,-4.1588719612000205,-3.746179754198697,-3.512572561785304,-2.7618299946214955,-3.8051120965579446,-3.031843558951387,-2.6331458717952136,-4.013330072386213,-3.711518036774599,-4.8278859134209435,-4.401971324154545,-4.150750759096507,-3.885027082784418,-8.044846736016535,-4.725731172516184,-4.25607086036786,-6.043264334294257,-4.283831436989465,-4.420805525445993,-4.208173889224714,-4.525394677806807,-5.894842111542053,-3.075577867867106,-4.2869903697604785,-3.449126067637202,-5.657660653954412,-3.7647410104674686,-5.273557005188564,-5.374260714730204,-4.343572780966737,-3.931583738803595,-4.189999554265189,-4.805850823691012,-4.059781602997004,-4.534977150253739,-4.588540325946503,-4.892497669643406,-4.8640176199294025,-4.320516446443653,-4.608982533814075,-3.912190376210417,-3.247473276482545,-3.3100080911712517,-3.6868677319046324,-3.7531540462439943,-4.122314056027787,-4.584623557100546,-4.15175041390841,-5.160580061619938,-4.482339251282617,-2.1738610210364264,-3.9273539158665636,-1.3377245123813881,-4.462399951091582,-4.0043020133830955,-4.585776397681303,-4.563760660856904,-3.634859068460341,-3.1684847291385316,-3.9866780900340486,-3.4479324133307134,-3.8328122094703687,-4.658433590950043,-3.47806971799205,-4.919813280143217,-5.64123973530077,-5.402724687855919,-3.7826534681276556,-4.20201491570791,-5.836739309782347,-3.8794766894468378,-5.213675026717918,-3.85082428558932,-3.8089917365586605,-4.747162232914356,-4.086610096787831,-3.7445721543570705,-4.0821133513575605,-4.193404389489011,-4.675815294562366,-4.001334173193951,-2.908812442643146,-5.129309641295136,-4.490420798459255,-5.056387709247882,-4.953927416512193,-4.499835202441928,-4.5667313900436906,-4.0639930286302395,-4.243278692355146,-4.2524320678293925,-3.9654234031347144,-4.4271195362500455,-3.773269854809114,-4.13187423791797,-3.1226416254679568,-5.412355367775086,-4.506715559197456,-5.149372503410666,-3.946656508605693,-3.981551130088458,-5.110338168107815,-4.655574213710461,-4.822111594913543,-3.7882662826742926,-4.208598273884183,-4.912155340637635,-4.042680296933897,-4.719643937764958,-4.162815308755641,-4.39935868285705,-3.149179007089083,-4.33532105627457,-4.85228601820243,-4.356563316746805,-4.511503107891635,-3.8823736993381712,-3.393925655462284,-4.078534510366055,-4.388818544577614
